Repo Name,Username,Stars,Repo URL
ohmyzsh,ohmyzsh,172000.0,https://github.com/ohmyzsh/ohmyzsh
fzf,junegunn,63300.0,https://github.com/junegunn/fzf
sherlock,sherlock-project,53600.0,https://github.com/sherlock-project/sherlock
lazygit,jesseduffield,49800.0,https://github.com/jesseduffield/lazygit
bat,sharkdp,48400.0,https://github.com/sharkdp/bat
ripgrep,BurntSushi,47200.0,https://github.com/BurntSushi/ripgrep
dive,wagoodman,45100.0,https://github.com/wagoodman/dive
n8n,n8n-io,44200.0,https://github.com/n8n-io/n8n
zx,google,42700.0,https://github.com/google/zx
cheat.sh,chubin,38000.0,https://github.com/chubin/cheat.sh
cobra,spf13,37300.0,https://github.com/spf13/cobra
cli,cli,36500.0,https://github.com/cli/cli
cli,httpie,33200.0,https://github.com/httpie/cli
fd,sharkdp,33100.0,https://github.com/sharkdp/fd
awesome-shell,alebcay,32400.0,https://github.com/alebcay/awesome-shell
modern-unix,ibraheemdev,30500.0,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,28200.0,https://github.com/tqdm/tqdm
ChatGPT,acheong08,28000.0,https://github.com/acheong08/ChatGPT
python-fire,google,26800.0,https://github.com/google/python-fire
angular-cli,angular,26700.0,https://github.com/angular/angular-cli
